Day,Hr,Temp,KWH
5/25/2016,15,71,226.6159256
5/25/2016,16,73,228.3066361
5/25/2016,17,77,232.121878
5/25/2016,18,83,238.9292929
5/25/2016,19,81,114.3900451
5/25/2016,20,79,112.1209068
5/25/2016,21,77,109.9963754
5/25/2016,22,74,107.0807164
5/25/2016,23,73,106.1811335
5/26/2016,0,72,105.3177024
5/26/2016,1,71,104.490423
5/26/2016,2,70,103.6992954
5/26/2016,3,68,102.2254953
5/26/2016,4,67,101.5428228
5/26/2016,5,66,100.8963021
5/26/2016,6,66,100.8963021
5/26/2016,7,68,224.3509978
5/26/2016,8,71,226.6159256
5/26/2016,9,73,228.3066361
5/26/2016,10,73,228.3066361
5/26/2016,11,73,228.3066361
5/26/2016,12,75,230.1419536
5/26/2016,13,75,230.1419536
5/26/2016,14,76,231.1138399
5/26/2016,15,76,231.1138399
5/26/2016,16,75,230.1419536
5/26/2016,17,74,229.206219
5/26/2016,18,74,229.206219
5/26/2016,19,72,105.3177024
5/26/2016,20,70,103.6992954
5/26/2016,21,69,102.9443195
5/26/2016,22,67,101.5428228
5/26/2016,23,66,100.8963021
5/27/2016,0,65,100.2859332
5/27/2016,1,64,99.71171594
5/27/2016,2,63,99.17365045
5/27/2016,3,62,98.6717367
5/27/2016,4,62,98.6717367
5/27/2016,5,61,98.20597468
5/27/2016,6,61,98.20597468
5/27/2016,7,64,221.8372185
5/27/2016,8,66,223.0218047
5/27/2016,9,69,225.069822
5/27/2016,10,71,226.6159256
5/27/2016,11,73,228.3066361
5/27/2016,12,74,229.206219
5/27/2016,13,76,231.1138399
5/27/2016,14,77,232.121878
5/27/2016,15,77,232.121878
5/27/2016,16,77,232.121878
5/27/2016,17,77,232.121878
5/27/2016,18,77,232.121878
5/27/2016,19,75,108.016451
5/27/2016,20,73,106.1811335
5/27/2016,21,71,104.490423
5/27/2016,22,69,102.9443195
5/27/2016,23,68,102.2254953
5/28/2016,0,67,47.60002389
5/28/2016,1,67,47.60002389
5/28/2016,2,66,46.95350319
5/28/2016,3,65,46.34313422
5/28/2016,4,63,45.23085151
5/28/2016,5,63,45.23085151
5/28/2016,6,64,45.768917
5/28/2016,7,67,169.7255265
5/28/2016,8,71,172.6731266
5/28/2016,9,75,176.1991546
5/28/2016,10,77,178.179079
5/28/2016,11,80,181.4201037
5/28/2016,12,81,182.5727487
5/28/2016,13,82,183.7615455
5/28/2016,14,81,182.5727487
5/28/2016,15,82,183.7615455
5/28/2016,16,81,182.5727487
5/28/2016,17,79,180.3036104
5/28/2016,18,77,178.179079
5/28/2016,19,73,52.2383346
5/28/2016,20,70,49.75649643
5/28/2016,21,75,54.07365206
5/28/2016,22,74,53.13791746
5/28/2016,23,73,52.2383346
5/29/2016,0,71,50.54762408
5/29/2016,1,71,50.54762408
5/29/2016,2,70,49.75649643
5/29/2016,3,69,49.00152051
5/29/2016,4,67,47.60002389
5/29/2016,5,66,46.95350319
5/29/2016,6,65,46.34313422
5/29/2016,7,66,169.0790058
5/29/2016,8,67,169.7255265
5/29/2016,9,67,169.7255265
5/29/2016,10,67,169.7255265
5/29/2016,11,66,169.0790058
5/29/2016,12,66,169.0790058
5/29/2016,13,66,169.0790058
5/29/2016,14,65,168.4686368
5/29/2016,15,66,169.0790058
5/29/2016,16,65,168.4686368
5/29/2016,17,64,167.8944196
5/29/2016,18,64,167.8944196
5/29/2016,19,63,45.23085151
5/29/2016,20,62,44.72893775
5/29/2016,21,61,44.26317574
5/29/2016,22,60,43.83356546
5/29/2016,23,60,43.83356546
5/30/2016,0,60,97.7763644
5/30/2016,1,59,97.38290586
5/30/2016,2,59,97.38290586
5/30/2016,3,59,97.38290586
5/30/2016,4,59,97.38290586
5/30/2016,5,59,97.38290586
5/30/2016,6,59,97.38290586
5/30/2016,7,61,220.3314772
5/30/2016,8,64,221.8372185
5/30/2016,9,66,223.0218047
5/30/2016,10,66,223.0218047
5/30/2016,11,67,223.6683254
5/30/2016,12,68,224.3509978
5/30/2016,13,69,225.069822
5/30/2016,14,71,226.6159256
5/30/2016,15,72,227.443205
5/30/2016,16,72,227.443205
5/30/2016,17,72,227.443205
5/30/2016,18,72,227.443205
5/30/2016,19,70,103.6992954
5/30/2016,20,70,103.6992954
5/30/2016,21,68,102.2254953
5/30/2016,22,67,101.5428228
5/30/2016,23,66,100.8963021
5/31/2016,0,66,100.8963021
5/31/2016,1,65,100.2859332
5/31/2016,2,65,100.2859332
5/31/2016,3,64,99.71171594
5/31/2016,4,64,99.71171594
5/31/2016,5,64,99.71171594
5/31/2016,6,64,99.71171594
5/31/2016,7,66,223.0218047
5/31/2016,8,69,225.069822
5/31/2016,9,71,226.6159256
5/31/2016,10,71,226.6159256
5/31/2016,11,72,227.443205
5/31/2016,12,74,229.206219
5/31/2016,13,75,230.1419536
5/31/2016,14,76,231.1138399
5/31/2016,15,76,231.1138399
5/31/2016,16,78,233.1660678
5/31/2016,17,78,233.1660678
5/31/2016,18,76,231.1138399
5/31/2016,19,74,107.0807164
5/31/2016,20,72,105.3177024
5/31/2016,21,70,103.6992954
5/31/2016,22,70,103.6992954
5/31/2016,23,69,102.9443195
